"set","run","cmp_code","cmp_id","label","om_code","source_om","stock","draws","first_year","last_year","statistics","source_file"
"robustness","tun44_om11_1","tun44","MP44","PR-20","om11_1","h1_0.16_selex","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om11_2","tun44","MP44","PR-20","om11_2","h1_0.16_lowrec","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om11_3","tun44","MP44","PR-20","om11_3","h1_0.16_cycle","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om12","tun44","MP44","PR-20","om12","h1_0.16h","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om13","tun44","MP44","PR-20","om13","h1_1.14","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om21","tun44","MP44","PR-20","om21","h2_0.16","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om21","tun44","MP44","PR-20","om21","h2_0.16","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om21_1","tun44","MP44","PR-20","om21_1","h2_0.16_mov","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om21_1","tun44","MP44","PR-20","om21_1","h2_0.16_mov","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om22","tun44","MP44","PR-20","om22","h2_0.16h","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om22","tun44","MP44","PR-20","om22","h2_0.16h","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om23","tun44","MP44","PR-20","om23","h2_1.14","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun44_om23","tun44","MP44","PR-20","om23","h2_1.14","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"reference","tun46","tun46","MP46","PRsym","om11","h1_0.16","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/reference/performance_with_vb.rds"
"robustness","tun46_om11_1","tun46","MP46","PRsym","om11_1","h1_0.16_selex","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om11_2","tun46","MP46","PRsym","om11_2","h1_0.16_lowrec","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om11_3","tun46","MP46","PRsym","om11_3","h1_0.16_cycle","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om12","tun46","MP46","PRsym","om12","h1_0.16h","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om13","tun46","MP46","PRsym","om13","h1_1.14","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om21","tun46","MP46","PRsym","om21","h2_0.16","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om21","tun46","MP46","PRsym","om21","h2_0.16","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om21_1","tun46","MP46","PRsym","om21_1","h2_0.16_mov","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om21_1","tun46","MP46","PRsym","om21_1","h2_0.16_mov","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om22","tun46","MP46","PRsym","om22","h2_0.16h","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om22","tun46","MP46","PRsym","om22","h2_0.16h","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om23","tun46","MP46","PRsym","om23","h2_1.14","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun46_om23","tun46","MP46","PRsym","om23","h2_1.14","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"reference","tun48","tun48","MP48","PR-30","om11","h1_0.16","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/reference/performance_with_vb.rds"
"robustness","tun48_om11_1","tun48","MP48","PR-30","om11_1","h1_0.16_selex","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om11_2","tun48","MP48","PR-30","om11_2","h1_0.16_lowrec","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om11_3","tun48","MP48","PR-30","om11_3","h1_0.16_cycle","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om12","tun48","MP48","PR-30","om12","h1_0.16h","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om13","tun48","MP48","PR-30","om13","h1_1.14","CJM",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om21","tun48","MP48","PR-30","om21","h2_0.16","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om21","tun48","MP48","PR-30","om21","h2_0.16","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om21_1","tun48","MP48","PR-30","om21_1","h2_0.16_mov","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om21_1","tun48","MP48","PR-30","om21_1","h2_0.16_mov","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om22","tun48","MP48","PR-30","om22","h2_0.16h","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om22","tun48","MP48","PR-30","om22","h2_0.16h","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om23","tun48","MP48","PR-30","om23","h2_1.14","North",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
"robustness","tun48_om23","tun48","MP48","PR-30","om23","h2_1.14","Southern",500,2024,2050,"C;FMSY;IACC;SBMSY;VB2025;VBMSY","output/candidate-performance-500/robustness/performance_with_vb.rds"
