selection_order,iter,mp,cmp,year,catch
2,100,tun45,HSsym (MP45),2049,1458.05418985546
2,100,tun45,HSsym (MP45),2050,1676.76230817051
3,122,tun45,HSsym (MP45),2026,1192.39277032917
3,122,tun45,HSsym (MP45),2027,1146.57493200609
3,122,tun45,HSsym (MP45),2028,1128.8541232472
3,122,tun45,HSsym (MP45),2029,1298.1822431229
3,122,tun45,HSsym (MP45),2030,1429.26354116493
3,122,tun45,HSsym (MP45),2031,1503.61669846331
3,122,tun45,HSsym (MP45),2032,1278.07419369381
3,122,tun45,HSsym (MP45),2033,1092.91416156894
3,122,tun45,HSsym (MP45),2034,1249.79409766054
3,122,tun45,HSsym (MP45),2035,1405.94483711687
3,122,tun45,HSsym (MP45),2036,1329.18654516786
3,122,tun45,HSsym (MP45),2037,1129.80856336854
3,122,tun45,HSsym (MP45),2038,986.059283526519
3,122,tun45,HSsym (MP45),2039,940.568901982349
3,122,tun45,HSsym (MP45),2040,1064.00385914577
3,122,tun45,HSsym (MP45),2041,1223.60443801834
3,122,tun45,HSsym (MP45),2042,1407.14510369058
3,122,tun45,HSsym (MP45),2043,1618.21686927922
3,122,tun45,HSsym (MP45),2044,1860.94939967134
3,122,tun45,HSsym (MP45),2045,1581.80698972064
3,122,tun45,HSsym (MP45),2046,1500.70079420969
3,122,tun45,HSsym (MP45),2047,1397.83503427043
3,122,tun45,HSsym (MP45),2048,1188.15978101121
3,122,tun45,HSsym (MP45),2049,1009.93581421496
3,122,tun45,HSsym (MP45),2050,933.079147504459
1,130,tun45,HSsym (MP45),2026,1192.39256884647
1,130,tun45,HSsym (MP45),2027,1146.57420203184
1,130,tun45,HSsym (MP45),2028,974.588071559166
1,130,tun45,HSsym (MP45),2029,1010.34707059262
1,130,tun45,HSsym (MP45),2030,1161.89913142592
1,130,tun45,HSsym (MP45),2031,1336.18399458799
1,130,tun45,HSsym (MP45),2032,1419.97851643261
1,130,tun45,HSsym (MP45),2033,1632.97527711868
1,130,tun45,HSsym (MP45),2034,1677.28292661931
1,130,tun45,HSsym (MP45),2035,1900.0517929376
1,130,tun45,HSsym (MP45),2036,1742.44276507959
1,130,tun45,HSsym (MP45),2037,1854.82970577101
1,130,tun45,HSsym (MP45),2038,1935.68370104038
1,130,tun45,HSsym (MP45),2039,1999.99999323318
1,130,tun45,HSsym (MP45),2040,1858.04810023013
1,130,tun45,HSsym (MP45),2041,1579.34090316001
1,130,tun45,HSsym (MP45),2042,1380.41643212862
1,130,tun45,HSsym (MP45),2043,1211.27016194883
1,130,tun45,HSsym (MP45),2044,1041.11780289995
1,130,tun45,HSsym (MP45),2045,884.95013246495
1,130,tun45,HSsym (MP45),2046,752.207612419125
