mp_code,mp,short_label,family,display,om,biol,catch_mean,catch_q10,catch_q90,sb_mean,sb_q10,sb_q90,iacc_mean,iacc_q10,iacc_q90,n_replicates,om_panel
tun44,MP44,PR-20,Power ramp,PR-20 (MP44),h2_0.16,North,166.51909460036,149.143837385644,180.776285723177,1.03645338594137,0.3638378948066,1.54911526500147,12.7827824728822,7.26002961115392,19.227913047126,100,Two stock (om21)
tun46,MP46,PRsym,Power ramp,PRsym (MP46),h2_0.16,North,183.862849026488,167.768430802274,200.081844850669,0.987599152394412,0.282920183379128,1.50669638177392,13.5334988075144,6.83090875582805,19.1448571230635,100,Two stock (om21)
tun48,MP48,PR-30,Power ramp,PR-30 (MP48),h2_0.16,North,146.979710987967,128.599649776211,168.338969072244,0.955900416557952,0.319014638927856,1.43111550993945,12.911057191251,6.88184922644925,19.5555301515143,100,Two stock (om21)
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h2_0.16,Southern,1038.384698077,943.224957379573,1124.60115369196,1.20349964805397,1.06627075674854,1.35840712159164,4.23562010833407,4.81542504982002e-07,8.23696560385241,100,Two stock (om21)
tun43,MP43,HS-20,Hockey-stick,HS-20 (MP43),h2_0.16,Southern,827.487948577302,769.685921422193,885.103493230193,1.4428151844009,1.32433936439327,1.55003131889048,4.83073498262597,2.07618739793627,8.32914867800054,100,Two stock (om21)
tun45,MP45,HSsym,Hockey-stick,HSsym (MP45),h2_0.16,Southern,859.708741808428,809.758219966917,914.144158601914,1.43723556884603,1.3224282136329,1.54141445306904,4.89538382540183,2.01184943645743,8.50193494070107,100,Two stock (om21)
tun47,MP47,HS-30,Hockey-stick,HS-30 (MP47),h2_0.16,Southern,807.509148938357,740.252312940179,868.401801317712,1.42954281346063,1.31407427649899,1.5362199567664,4.90564323453998,2.15211171919271,8.35098241535422,100,Two stock (om21)
tun32,MP32,PR+20,Power ramp,PR+20 (MP32),h2_0.16,Southern,934.860866840894,825.491892467178,1075.31556962515,1.20731571842427,1.08769223941239,1.3254928472824,5.17260579640526,2.03011861340559,10.1435434513501,100,Two stock (om21)
tun44,MP44,PR-20,Power ramp,PR-20 (MP44),h2_0.16,Southern,716.561480564869,655.16587070116,744.277903385503,1.49795337256989,1.36279819134309,1.62834636462633,6.66112453723392,2.78946199625323,10.9955489497951,100,Two stock (om21)
tun46,MP46,PRsym,Power ramp,PRsym (MP46),h2_0.16,Southern,790.910007802922,736.09105609148,856.946754078816,1.47035010149881,1.33824956570205,1.60147407632508,6.1199144800783,2.79050423328667,10.5538733719118,100,Two stock (om21)
tun48,MP48,PR-30,Power ramp,PR-30 (MP48),h2_0.16,Southern,632.556629223161,564.009221068372,703.00294813737,1.4413564084402,1.31985493980392,1.55858190872995,5.57834594471643,2.42223299986604,9.85958872702403,100,Two stock (om21)
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h2_0.16_mov,North,233.081227753024,209.915919554132,258.279496337519,2.68725076898601,2.32287699656038,3.24447174011308,11.0268496329127,6.39964481909476,16.1922929482844,100,Movement (om21_1)
tun43,MP43,HS-20,Hockey-stick,HS-20 (MP43),h2_0.16_mov,North,187.252585512168,171.94136938023,207.863410445859,3.04827299944114,2.57478892691686,3.65943082593579,11.1335368431119,6.40021706923912,16.8218724818257,100,Movement (om21_1)
tun45,MP45,HSsym,Hockey-stick,HSsym (MP45),h2_0.16_mov,North,194.758302456184,178.938226619788,214.3166216151,3.03540229676404,2.56587677930896,3.62352137515111,11.1628447156591,6.3173144324933,16.975118984363,100,Movement (om21_1)
tun47,MP47,HS-30,Hockey-stick,HS-30 (MP47),h2_0.16_mov,North,181.916997762016,165.345727446887,200.395176394266,3.02898064745172,2.56418639956031,3.63727891289974,11.1326733208858,6.52650234318126,16.7201220000292,100,Movement (om21_1)
tun32,MP32,PR+20,Power ramp,PR+20 (MP32),h2_0.16_mov,North,208.638571199763,181.63369603982,238.319172823742,2.69889936201158,2.35502075686965,3.26571580307935,11.7299469009823,6.56812646710315,17.116061510563,100,Movement (om21_1)
tun44,MP44,PR-20,Power ramp,PR-20 (MP44),h2_0.16_mov,North,162.122054575571,146.613282324701,180.467110520772,3.12365101488402,2.59482320468389,3.77850366871921,12.3510126865702,7.19092544738459,17.8177024025884,100,Movement (om21_1)
tun46,MP46,PRsym,Power ramp,PRsym (MP46),h2_0.16_mov,North,178.482676765784,164.509644724663,196.301853772811,3.10194780499413,2.65929089094833,3.75165098502666,12.0971476463681,6.71831084881621,17.7879388973595,100,Movement (om21_1)
tun48,MP48,PR-30,Power ramp,PR-30 (MP48),h2_0.16_mov,North,142.499534845861,127.481754873371,159.532101720572,3.03591259355434,2.55207930141718,3.72592427621325,12.229410003639,6.43394155260947,18.4888298446482,100,Movement (om21_1)
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h2_0.16_mov,Southern,1009.39137733052,921.634735427995,1089.88113094888,1.0184232147612,0.927623267708698,1.11895066654017,5.41409641058996,2.43339289300568,8.52213954946154,100,Movement (om21_1)
tun43,MP43,HS-20,Hockey-stick,HS-20 (MP43),h2_0.16_mov,Southern,810.966893736682,755.342335413206,859.867998209388,1.23299943133935,1.15174661758276,1.33111824330162,5.5305938653206,3.00433998861614,8.77847370226512,100,Movement (om21_1)
tun45,MP45,HSsym,Hockey-stick,HSsym (MP45),h2_0.16_mov,Southern,843.632026962544,794.237439719575,886.689084791231,1.22910663412087,1.14560976736181,1.32663979908425,5.59304123191002,3.08521192074454,8.98978169012081,100,Movement (om21_1)
tun47,MP47,HS-30,Hockey-stick,HS-30 (MP47),h2_0.16_mov,Southern,787.85868935486,726.877343787267,846.206809456341,1.22431441262007,1.14268669050072,1.31872639289446,5.54215743823318,3.04504515348902,8.69246387653632,100,Movement (om21_1)
tun32,MP32,PR+20,Power ramp,PR+20 (MP32),h2_0.16_mov,Southern,903.675431563631,791.011316533569,1024.43642353767,1.02111659463949,0.919769950970266,1.11151455700971,6.63004524629706,2.18480000870287,12.17970325013,100,Movement (om21_1)
tun44,MP44,PR-20,Power ramp,PR-20 (MP44),h2_0.16_mov,Southern,702.681386132667,650.323247130394,744.277902329091,1.26267248683332,1.15848804674987,1.36933100997153,7.63431102283029,2.99132384181374,12.2890979488677,100,Movement (om21_1)
tun46,MP46,PRsym,Power ramp,PRsym (MP46),h2_0.16_mov,Southern,773.473581440167,729.109003754315,833.186896371693,1.25743292123738,1.15342829184605,1.3817800980913,7.43712780480524,3.10225250510474,12.250232526167,100,Movement (om21_1)
tun48,MP48,PR-30,Power ramp,PR-30 (MP48),h2_0.16_mov,Southern,617.041262555993,560.277587809778,678.904795166272,1.2113034121913,1.12771058310737,1.30012424834342,6.98110303291603,2.27936058187545,12.5609689249897,100,Movement (om21_1)
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h2_0.16h,North,230.610437928008,202.680949605664,257.474135573879,0.322962525340246,0,1.11708937449691,12.3948333393085,6.38977759592763e-12,34.2327604059959,100,"Two stock, h=0.8 (om22)"
tun43,MP43,HS-20,Hockey-stick,HS-20 (MP43),h2_0.16h,North,188.808667863908,171.395153288711,203.621703420817,0.817380114683336,5.97572077596214e-21,1.49346080560165,12.2643096238979,3.25667636967596,17.1441685585091,100,"Two stock, h=0.8 (om22)"
tun45,MP45,HSsym,Hockey-stick,HSsym (MP45),h2_0.16h,North,195.494616579146,178.053746927635,210.575231477757,0.773853336138333,0,1.47512081568257,12.1065626538412,3.34022307719071,19.9998296314611,100,"Two stock, h=0.8 (om22)"
tun47,MP47,HS-30,Hockey-stick,HS-30 (MP47),h2_0.16h,North,183.472877240282,164.767529110467,201.070285478615,0.83194951526209,0.0145972820639145,1.4887464665773,12.8232747427209,6.38930279955349,19.999996974799,100,"Two stock, h=0.8 (om22)"
tun32,MP32,PR+20,Power ramp,PR+20 (MP32),h2_0.16h,North,210.050715325112,177.216288574037,241.487841094843,0.391839813646016,0,1.18221252546817,14.9337066583243,7.16138259804211e-12,29.842881838669,100,"Two stock, h=0.8 (om22)"
tun44,MP44,PR-20,Power ramp,PR-20 (MP44),h2_0.16h,North,163.055200743836,148.002325261619,175.66549656391,0.9941439091133,0.218431187925529,1.57266185911666,13.7675987896493,7.62646859140642,20.2654250413409,100,"Two stock, h=0.8 (om22)"
tun46,MP46,PRsym,Power ramp,PRsym (MP46),h2_0.16h,North,179.237629497906,164.883864444045,194.514807501339,0.912126222228419,6.06624169456259e-17,1.57284619427742,13.1282691092367,6.93774738560939,20.7989847921199,100,"Two stock, h=0.8 (om22)"
tun48,MP48,PR-30,Power ramp,PR-30 (MP48),h2_0.16h,North,144.025108266244,126.700433279708,161.456010851488,0.963036075012713,0.28901353490628,1.48743602375348,15.1099638289979,7.32547427954164,22.9542038155453,100,"Two stock, h=0.8 (om22)"
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h2_0.16h,Southern,1014.27136727225,904.290910526988,1112.67251920019,1.54062371926062,1.34140369136201,1.70876176217094,6.47180903686738,2.84809552545641,10.6819122594127,100,"Two stock, h=0.8 (om22)"
